fiyat,oda_salon,metrekare_brut,metrekare_net,bina_yasi,kat,kat_sayisi,isitma,banyo_sayisi,ilce,mahalle
7600000.0,3+1,115.0,100.0,21 Ve Üzeri,3.0,4.0,Kombi Doğalgaz,2.0,Üsküdar,Bulgurlu
4850000.0,2+1,78.0,65.0,11-15,,5.0,Kombi Doğalgaz,1.0,Üsküdar,Cumhuriyet
6575000.0,3+1,120.0,110.0,5-10,1.0,5.0,Kombi Doğalgaz,2.0,Kağıthane,Çağlayan
23500000.0,7+2,350.0,300.0,11-15,4.0,4.0,Merkezi (Pay Ölçer),3.0,Beylikdüzü,Adnan Kahveci
4400000.0,3+1,130.0,120.0,21 Ve Üzeri,4.0,7.0,Kombi Doğalgaz,1.0,Şişli,Kuştepe
6800000.0,3+1,140.0,120.0,11-15,2.0,5.0,Kombi Doğalgaz,1.0,Sultangazi,Yunus Emre
10350000.0,2+1,75.0,65.0,21 Ve Üzeri,1.0,5.0,Merkezi Doğalgaz,1.0,Üsküdar,Barbaros
5250000.0,2+1,130.0,90.0,16-20,4.0,6.0,Kombi Doğalgaz,1.0,Eyüpsultan,Karadolap
5600000.0,2+1,105.0,90.0,5-10,3.0,5.0,Kombi Doğalgaz,1.0,Sultangazi,İsmetpaşa
1725000.0,1+1,80.0,75.0,5-10,,4.0,Kombi Doğalgaz,1.0,Esenyurt,Şehitler
3650000.0,5+2,300.0,250.0,21 Ve Üzeri,5.0,5.0,Kombi Doğalgaz,2.0,Avcılar,Merkez
5650000.0,2+1,80.0,60.0,0 (Yeni),,5.0,Kombi Doğalgaz,1.0,Kartal,Hürriyet
6400000.0,3+1,115.0,110.0,1,1.0,6.0,Kombi Doğalgaz,2.0,Sultanbeyli,Orhangazi
9500000.0,4+2,220.0,210.0,4,4.0,5.0,Kombi Doğalgaz,2.0,Sultangazi,Yunus Emre
5700000.0,3+1,135.0,115.0,21 Ve Üzeri,,10.0,Kombi Doğalgaz,1.0,Kartal,Uğur Mumcu
64950006750000.0,3+2,180.0,170.0,21 Ve Üzeri,,5.0,Kombi Doğalgaz,2.0,Gaziosmanpaşa,Karayolları
7500000.0,2+1,100.0,74.0,0 (Yeni),4.0,10.0,Kombi Doğalgaz,1.0,Bahçelievler,Hürriyet
11300000.0,3+1,150.0,130.0,0 (Yeni),2.0,5.0,Kombi Doğalgaz,2.0,Beylikdüzü,Kavaklı
5825000.0,2+1,110.0,95.0,5-10,2.0,3.0,Kombi Doğalgaz,1.0,Küçükçekmece,İstasyon
3150000.0,3+1,130.0,120.0,0 (Yeni),1.0,5.0,Kombi Doğalgaz,1.0,Esenyurt,Yenikent
