fiyat,metrekare_brut,metrekare_net,bina_yasi,kat,kat_sayisi,isitma,banyo_sayisi,ilce,mahalle,kat_orani,metrekare_farki,metrekare_verimliligi,oda_sayisi,salon_sayisi,toplam_oda
10990000.0,135.0,115.0,0 (Yeni),5.0,12.0,Kombi Doğalgaz,2.0,Küçükçekmece,Cumhuriyet,0.4166666666666667,20.0,0.8518518518518519,4.0,1.0,5.0
4500000.0,120.0,105.0,21 Ve Üzeri,7.0,7.0,Kombi Doğalgaz,1.0,Maltepe,Zümrütevler,1.0,15.0,0.875,3.0,1.0,4.0
7650000.0,100.0,90.0,0 (Yeni),1.0,5.0,Kombi Doğalgaz,1.0,Gaziosmanpaşa,Şemsipaşa,0.2,10.0,0.9,2.0,1.0,3.0
5950000.0,95.0,70.0,0 (Yeni),2.0,5.0,Kombi Doğalgaz,1.0,Sultangazi,İsmetpaşa,0.4,25.0,0.7368421052631579,2.0,1.0,3.0
5200000.0,100.0,75.0,5-10,3.0,5.0,Kombi Doğalgaz,1.0,Sultangazi,İsmetpaşa,0.6,25.0,0.75,2.0,1.0,3.0
5250000.0,100.0,85.0,16-20,2.0,3.0,Kombi Doğalgaz,1.0,Zeytinburnu,Nuripaşa,0.6666666666666666,15.0,0.85,2.0,1.0,3.0
9300000.0,125.0,110.0,5-10,3.0,9.0,Kombi Doğalgaz,1.0,Güngören,Merkez,0.3333333333333333,15.0,0.88,3.0,1.0,4.0
4999999.0,121.0,103.0,0 (Yeni),2.0,5.0,Kombi Doğalgaz,1.0,Çekmeköy,Ekşioğlu,0.4,18.0,0.8512396694214877,3.0,1.0,4.0
8000000.0,400.0,350.0,21 Ve Üzeri,5.0,5.0,Kombi Doğalgaz,4.0,Küçükçekmece,Cumhuriyet,1.0,50.0,0.875,8.0,4.0,12.0
7230000.0,145.0,120.0,16-20,1.0,5.0,Kombi Doğalgaz,2.0,Ümraniye,Yukarı Dudullu,0.2,25.0,0.8275862068965517,3.0,1.0,4.0
6050000.0,80.0,65.0,16-20,6.0,10.0,Kombi Doğalgaz,1.0,Ümraniye,Namık Kemal,0.6,15.0,0.8125,2.0,1.0,3.0
